brand,model,type,year
Specialized,Crossroads Sport,URBAN & FITNESS,2019
Specialized,Crossroads Sport,Hybrid,2018
Specialized,Crossroads Sport,Hybrid,2017
Specialized,Crossroads Sport,Hybrid,2016
Specialized,Crossroads Sport,Hybrid,2015
Specialized,Crossroads Sport,Hybrid,2014
Specialized,Crossroads Sport,Hybrid,2014
Specialized,Crossroads Sport,Hybrid,2012
Specialized,Crossroads Sport,Hybrid,2006
Specialized,Crossroads Sport,Hybrid,2005
Specialized,Crossroads Sport,Hybrid,2004
Specialized,Crossroads Sport,Hybrid,2003
Specialized,Crossroads Sport,Hybrid,1995
Specialized,Crossroads Sport,Hybrid,1994
Specialized,Crossroads Sport,Hybrid,1993
Specialized,Crossroads Sport Low Entry,Hybrid,2012
Specialized,Crossroads Sport Low Entry,Hybrid,2011
Specialized,Crossroads Sport Low Entry - Women's,Hybrid,2012
Specialized,Crossroads Sport Step-Through - Women's,URBAN & FITNESS,2019
Specialized,Crossroads Sport Step-Through - Women's,Hybrid,2018
Specialized,Crossroads Sport Step-Through - Women's,Hybrid,2015
Specialized,Crossroads Sport Step-Through - Women's,Hybrid,2014
Specialized,Crossroads Sport Step-Through - Women's,Hybrid,2013
Specialized,Crossroads Sport Stepthrough,Hybrid,2013
Specialized,Langster,URBAN & FITNESS,2018
Specialized,Langster,Hybrid,2017
Specialized,Langster,Road,2016
Specialized,Langster,Road,2015
Specialized,Langster,Road,2014
Specialized,Langster,Track / Fixie / Singlespeed,2013
Specialized,Langster,Track / Fixie / Singlespeed,2012
Specialized,Langster,Track / Fixie / Singlespeed,2011
Specialized,Langster,Track / Fixie / Singlespeed,2010
Specialized,Langster,Track / Fixie / Singlespeed,2009
Specialized,Langster,Track / Fixie / Singlespeed,2008
Specialized,Langster,Track / Fixie / Singlespeed,2007
Specialized,Langster Atlantis,Hybrid,2017
Specialized,Langster Boston,Track / Fixie / Singlespeed,2008
Specialized,Langster Chicago,Track / Fixie / Singlespeed,2008
Specialized,Langster Durango,Hybrid,2017
Specialized,Langster Las Vegas,Track / Fixie / Singlespeed,2009
Specialized,Langster London,Track / Fixie / Singlespeed,2008
Specialized,Langster Los Angeles,Track / Fixie / Singlespeed,2010
Specialized,Langster Monaco,Track / Fixie / Singlespeed,2009
Specialized,Langster Moscow,Track / Fixie / Singlespeed,2010
Specialized,Langster New York,Track / Fixie / Singlespeed,2009
Specialized,Langster New York,Track / Fixie / Singlespeed,2008
Specialized,Langster Pro,Road,2016
Specialized,Langster Pro,Road,2015
Specialized,Langster Pro,Road,2014
Specialized,Langster Pro,Track / Fixie / Singlespeed,2013
Specialized,Langster Pro,Track / Fixie / Singlespeed,2012
Specialized,Langster Pro,Track / Fixie / Singlespeed,2004
Specialized,Langster Rio,Road,2016
Specialized,Langster San Francisco,Track / Fixie / Singlespeed,2009
Specialized,Langster Seattle,Track / Fixie / Singlespeed,2009
Specialized,Langster Seattle,Track / Fixie / Singlespeed,2008
Specialized,Langster SF,Road,2015
Specialized,Langster Steel,Track / Fixie / Singlespeed,2011
Specialized,Langster Steel,Track / Fixie / Singlespeed,2010
Specialized,Langster Street,URBAN & FITNESS,2018
Specialized,Langster Street,Hybrid,2017
Specialized,Langster Street,Hybrid,2016
Specialized,Langster Street,Hybrid,2015
Specialized,Langster Street,Hybrid,2014
Specialized,Langster Tokyo,Track / Fixie / Singlespeed,2009
Specialized,Langster Vegas,Track / Fixie / Singlespeed,2009
Specialized,S-Works Langster,Track / Fixie / Singlespeed,2009
Specialized,S-Works Langster,Track / Fixie / Singlespeed,2007
Specialized,P.3,Mountain,2021
Specialized,P.3,Mountain,2019
Specialized,P.3,Mountain,2018
Specialized,P.3,Mountain,2017
Specialized,P.3,Mountain,2016
Specialized,P.3,Mountain,2015
Specialized,P.3,Mountain,2014
Specialized,P.3,Mountain,2013
Specialized,P.3,Mountain,2010
Specialized,P.3,Mountain,2009
Specialized,P.3,Mountain,2008
Specialized,P.3,Mountain,2000
Specialized,P.3 Bush Disc,Mountain,2001
Specialized,P.3 Frameset,Mountain,2021
Specialized,P.3 Pro,Mountain,2018
Specialized,P.3 Pro,Mountain,2017
Specialized,P.Series P.3,Mountain,2007
Specialized,Men's Sirrus,URBAN & FITNESS,2020
Specialized,Men's Sirrus – V-Brake,URBAN & FITNESS,2020
Specialized,Men's Sirrus Alloy - V-Brake,URBAN & FITNESS,2019
Specialized,Men's Sirrus Alloy Disc,URBAN & FITNESS,2019
Specialized,Men's Sirrus Elite Alloy,URBAN & FITNESS,2019
Specialized,Men's Sirrus Elite Carbon,URBAN & FITNESS,2019
Specialized,Men's Sirrus Expert Carbon,URBAN & FITNESS,2020
Specialized,Men's Sirrus Expert Carbon,URBAN & FITNESS,2019
Specialized,Men's Sirrus Pro Carbon,URBAN & FITNESS,2020
Specialized,Men's Sirrus Pro Carbon,URBAN & FITNESS,2019
Specialized,Men's Sirrus Single Speed,URBAN & FITNESS,2020
Specialized,Men's Sirrus SL,Hybrid,2019
Specialized,Men's Sirrus SL,URBAN & FITNESS,2019
Specialized,Men's Sirrus Sport,URBAN & FITNESS,2020
Specialized,Men's Sirrus Sport,URBAN & FITNESS,2019
Specialized,Men's Sirrus X Comp Carbon,URBAN & FITNESS,2019
Specialized,Sirrus,Hybrid,2018
Specialized,Sirrus,Hybrid,2017
Specialized,Sirrus,Hybrid,2016
Specialized,Sirrus,Hybrid,2015
Specialized,Sirrus,Hybrid,2014
Specialized,Sirrus,Hybrid,2013
Specialized,Sirrus,Hybrid,2012
Specialized,Sirrus,Hybrid,2011
Specialized,Sirrus,Hybrid,2010
Specialized,Sirrus,Hybrid,2009
Specialized,Sirrus,Hybrid,2003
Specialized,Sirrus,Hybrid,1997
Specialized,Sirrus - V-Brake Women's,Hybrid,2018
Specialized,Sirrus – V-Brake Men's,Hybrid,2019
Specialized,Sirrus 1.0,URBAN & FITNESS,2021
Specialized,Sirrus 1.0,URBAN & FITNESS,2020
Specialized,Sirrus 2.0,URBAN & FITNESS,2020
Specialized,Sirrus 2.0 ST,URBAN & FITNESS,2020
Specialized,Sirrus 3.0,URBAN & FITNESS,2020
Specialized,Sirrus 3.0 ST,URBAN & FITNESS,2021
Specialized,Sirrus 4.0,URBAN & FITNESS,2020
Specialized,Sirrus 6.0,URBAN & FITNESS,2021
Specialized,Sirrus A1,Hybrid,2002
Specialized,Sirrus A1 Elite,Hybrid,2002
Specialized,Sirrus A1 Pro,Hybrid,2002
Specialized,Sirrus A1 Sport,Hybrid,2002
Specialized,Sirrus Alloy - V-Brake Men's,Hybrid,2019
Specialized,Sirrus Alloy - V-Brake Men's,Hybrid,2018
Specialized,Sirrus Alloy Disc Men's,Hybrid,2019
Specialized,Sirrus Alloy Disc Men's,Hybrid,2018
Specialized,Sirrus Comp,Hybrid,2015
Specialized,Sirrus Comp,Hybrid,2014
Specialized,Sirrus Comp,Hybrid,2013
Specialized,Sirrus Comp,Hybrid,2012
Specialized,Sirrus Comp,Hybrid,2011
Specialized,Sirrus Comp,Hybrid,2010
Specialized,Sirrus Comp Carbon,Hybrid,2017
Specialized,Sirrus Comp Carbon,Hybrid,2016
Specialized,Sirrus Comp Carbon Disc,Hybrid,2015
Specialized,Sirrus Comp City,Hybrid,2017
Specialized,Sirrus Comp Disc,Hybrid,2016
Specialized,Sirrus Comp Disc,Hybrid,2015
Specialized,Sirrus Comp Disc,Hybrid,2014
Specialized,Sirrus Disc,Hybrid,2017
Specialized,Sirrus Disc,Hybrid,2016
Specialized,Sirrus Disc - Step-Through Women's,Hybrid,2019
Specialized,Sirrus Disc - Step-Through Women's,Hybrid,2018
Specialized,Sirrus Disc Women's,Hybrid,2018
Specialized,Sirrus Elite,Hybrid,2017
Specialized,Sirrus Elite,Hybrid,2016
Specialized,Sirrus Elite,Hybrid,2015
Specialized,Sirrus Elite,Hybrid,2014
Specialized,Sirrus Elite,Hybrid,2013
Specialized,Sirrus Elite,Hybrid,2012
Specialized,Sirrus Elite,Hybrid,2011
Specialized,Sirrus Elite,Hybrid,2010
Specialized,Sirrus Elite,Hybrid,2009
Specialized,Sirrus Elite Alloy - Step-Through Women's,Hybrid,2018
Specialized,Sirrus Elite Alloy Men's,Hybrid,2019
Specialized,Sirrus Elite Alloy Men's,Hybrid,2018
Specialized,Sirrus Elite Alloy Women's,Hybrid,2018
Specialized,Sirrus Elite Carbon,Hybrid,2019
Specialized,Sirrus Elite Carbon,Hybrid,2016
Specialized,Sirrus Elite Carbon Disc,Hybrid,2015
Specialized,Sirrus Elite Carbon Men's,Hybrid,2019
Specialized,Sirrus Elite Carbon Men's,Hybrid,2018
Specialized,Sirrus Elite Carbon Women's,Hybrid,2018
Specialized,Sirrus Elite Disc,Hybrid,2016
Specialized,Sirrus Elite Disc,Hybrid,2015
Specialized,Sirrus Elite Disc,Hybrid,2014
Specialized,Sirrus Elite Disc,Hybrid,2013
Specialized,Sirrus Elite Disc,Hybrid,2011
Specialized,Sirrus Expert,Hybrid,2011
